Hour,Baseline (kWh),New HP
211,3.49131,3.061345
212,3.098116,2.691166
213,3.543676,3.102097
214,3.11058,2.689774
215,3.077175,2.651437
216,2.737613,2.483187
217,3.226154,2.610616
218,2.800178,2.490305
219,3.3960410000000003,2.921516
220,3.731411,3.093086
221,3.221167,2.762179
222,3.4035070000000003,2.918974
223,4.504145,4.06827
224,9.155451999999999,8.639762
225,4.303907000000001,3.834889
226,4.503272,3.7428090000000003
227,5.353688,4.843572
228,3.4179340000000002,2.866295
229,2.722318,2.251774
230,2.4304870000000003,1.971836
231,2.606208,2.227035
232,1.8950360000000002,1.618398
233,2.06079,1.768417
234,2.796846,2.339632
235,3.183215,2.826399
236,3.3630500000000003,2.997989
237,2.98296,2.622726
238,3.014085,2.606947
239,3.41533,3.012136
240,5.784171,5.433634
241,3.234921,2.815275
242,2.874902,2.648775
243,3.127418,2.612525
244,3.3247,2.659238
245,2.9609140000000003,2.663892
246,3.6721019999999998,3.195164
247,4.358244,3.700621
248,4.308723,3.65308
249,3.4835920000000002,2.995148
250,3.1004560000000003,2.627662
251,3.1103270000000003,2.5717950000000003
252,2.370347,1.9305519999999998
253,2.151905,1.8032460000000001
254,2.896284,2.58983
255,1.75363,1.486348
256,2.080933,1.917619
257,2.829446,2.5680210000000003
258,3.942391,3.614357
259,2.349096,2.0671660000000003
260,3.348233,3.058152
261,2.592651,2.308964
262,2.733822,2.427772
263,2.660248,2.294542
264,3.081487,2.6648110000000003
265,2.642052,2.287771
266,2.835511,2.391285
267,2.9976410000000002,2.556493
268,2.8454520000000003,2.565604
269,3.127224,2.671063
270,3.638229,3.178999
271,5.638828,5.173766
272,4.459084,3.6389810000000002
273,3.372792,2.987023
274,3.720378,3.1153910000000002
275,3.279692,2.728174
276,3.514127,3.030265
277,2.651462,2.2698069999999997
278,2.018866,1.674173
279,5.294165999999999,5.048002
280,1.988562,1.708936
281,1.863905,1.572383
282,2.744594,2.3410990000000003
283,2.298286,2.00337
284,2.6482550000000002,2.363135
285,2.272296,1.952476
286,2.1785730000000005,1.870845
287,1.932091,1.6404580000000002
288,2.228288,1.838547
289,1.747324,1.345561
290,2.161332,1.726549
291,1.761822,1.289575
292,1.9275239999999998,1.398616
293,2.181636,1.5898219999999998
294,2.1697800000000003,1.723828
295,2.928336,2.522393
296,3.6007689999999997,3.098986
297,2.587956,2.108593
298,2.658852,2.002335
299,3.605223,3.039183
300,2.466139,1.958499
301,2.24063,1.8223520000000002
302,2.133508,1.731453
303,2.344706,2.031526
304,2.123457,1.7499749999999998
305,2.290404,1.960378
306,3.259215,2.812812
307,2.832892,2.505373
308,2.946423,2.619007
309,4.707146,4.362607
310,3.28806,2.85727
311,3.238114,2.811563
312,5.871574,5.443027
313,3.518851,3.081668
314,3.3196570000000003,2.959163
315,3.647417,3.110802
316,3.6607350000000003,3.247258
317,3.855873,3.554805
318,8.994116,8.324148
319,7.249567,6.642968
320,5.309288,4.873049
321,4.09565,3.489922
322,6.385361,5.9234
323,4.001038000000001,3.544285
324,3.06273,2.559661
325,2.701745,2.27062
326,2.49952,2.115908
327,2.2111300000000003,1.912058
328,2.353752,1.897049
329,3.935122,3.642309
330,3.398455,2.950558
331,3.182893,2.836346
332,3.30719,2.9756810000000002
333,3.068941,2.661624
334,3.6548670000000003,3.399203
